Confusion Matrix:
[[37  1  0 ...  0  0  0]
 [ 2 29  0 ...  0  1  0]
 [ 0  0 27 ...  0  0  0]
 ...
 [ 0  0  0 ... 39  0  0]
 [ 0  0  0 ...  0 34  0]
 [ 0  0  0 ...  1  0 29]]

Classification Report:
              precision    recall  f1-score   support

           0       0.79      0.95      0.86        39
           1       0.94      0.71      0.81        41
           2       0.93      0.59      0.72        46
           3       0.68      0.52      0.59        44
           4       0.97      0.69      0.81        42
           5       0.74      0.93      0.82        43
           6       0.98      1.00      0.99        44
           7       0.68      0.58      0.62        43
           8       1.00      0.87      0.93        39
           9       0.95      0.90      0.92        39
          10       0.77      0.56      0.65        43
          11       0.86      0.60      0.71        40
          12       0.68      0.95      0.80        43
          13       0.91      0.95      0.93        41
          14       0.58      0.76      0.66        41
          15       0.88      0.88      0.88        40
          16       0.81      0.59      0.68        44
          17       0.79      0.98      0.87        42
          18       0.56      0.93      0.70        44
          19       0.67      0.67      0.67        43
          20       0.97      0.88      0.92        41
          21       0.81      0.71      0.75        41
          22       0.79      0.95      0.86        43
          23       0.65      0.57      0.61        42
          24       0.70      0.85      0.77        39
          25       0.86      0.70      0.77        43
          26       0.88      0.70      0.78        40
          27       0.69      0.58      0.63        43
          28       0.76      0.86      0.81        44
          29       0.72      0.67      0.70        43
          30       0.72      0.55      0.62        42
          31       0.71      0.89      0.79        44
          32       0.68      0.78      0.73        41
          33       0.75      0.91      0.82        43
          34       0.86      0.86      0.86        42
          35       0.98      0.98      0.98        41
          36       0.90      0.62      0.73        42
          37       0.86      0.95      0.90        40
          38       0.88      0.88      0.88        43
          39       0.58      0.90      0.70        41
          40       0.97      0.84      0.90        43
          41       0.73      0.68      0.70        40
          42       0.81      0.91      0.86        43
          43       0.79      0.83      0.81        41
          44       0.71      0.66      0.68        44

    accuracy                           0.78      1890
   macro avg       0.80      0.78      0.78      1890
weighted avg       0.80      0.78      0.78      1890
